ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date
457,10,,,10,23/05/2010,31/05/2010,08/06/2010,
458,10,10,10,9,02/07/2010,01/10/2010,18/02/2011,
459,10,9,,,19/05/2010,31/05/2010,01/06/2010,
460,10,10,8,8,19/05/2010,25/05/2010,28/05/2010,01/06/2010
461,9,9,10,9,26/05/2010,01/06/2010,19/07/2010,
462,10,10,10,9,20/04/2010,20/04/2010,20/04/2010,21/04/2010
463,10,10,10,10,18/05/2010,03/12/2010,,
464,,,,,21/05/2010,26/05/2010,19/10/2010,
465,10,10,,9,30/09/2010,,,
466,,,,10,28/10/2010,,,
467,10,,,,20/09/2010,18/10/2010,,
468,9,10,9,9,13/05/2010,30/05/2010,15/09/2010,05/10/2010
469,,,9,,27/05/2010,04/10/2010,09/10/2010,
470,8,,,,10/05/2010,19/05/2010,,
471,,,,,21/06/2010,21/09/2010,,
472,10,,,,28/04/2010,03/05/2010,,
473,10,9,10,10,28/05/2010,27/09/2010,10/02/2011,
474,10,10,10,10,28/10/2010,,,
475,8,,10,8,21/04/2010,06/05/2010,29/05/2010,
476,9,10,8,,06/05/2010,31/05/2010,,
477,9,10,,,02/06/2010,,,
478,10,9,,,31/05/2010,,,
479,10,,10,,02/04/2010,,,
480,10,6,,,30/09/2010,01/11/2010,,
481,8,,,,05/10/2010,17/10/2010,,
482,10,10,10,10,20/05/2010,28/05/2010,01/06/2010,14/06/2010
483,,,8,10,19/04/2010,31/05/2010,20/09/2010,15/11/2010
484,9,10,,,07/05/2010,11/05/2010,27/05/2010,
485,,10,10,10,23/05/2010,01/06/2010,28/09/2010,
486,10,10,10,10,03/05/2010,28/05/2010,14/06/2010,
487,10,,,,16/02/2010,02/03/2010,,
488,8,,8,8,18/05/2010,21/05/2010,27/05/2010,01/06/2010
489,,10,8,6,20/09/2010,20/09/2010,20/09/2010,
490,10,10,10,,27/05/2010,01/06/2010,02/06/2010,
491,9,9,,9,22/09/2010,14/10/2010,27/10/2010,
492,9,,8,10,12/05/2010,28/05/2010,30/09/2010,
493,10,,,,27/10/2010,27/10/2010,,
494,8,,,,31/01/2011,31/01/2011,31/01/2011,22/02/2011
495,10,9,,,13/09/2010,06/10/2010,,
496,10,,10,,19/05/2010,07/08/2010,,
497,10,10,,,12/05/2010,,,
498,10,10,9,9,26/05/2010,15/11/2010,,
499,9,10,8,10,04/06/2010,26/10/2010,22/11/2010,
500,8,,,,26/05/2010,01/06/2010,02/06/2010,17/09/2010
501,10,8,,,30/05/2010,08/06/2010,,
502,,10,,,31/05/2010,01/10/2010,07/02/2011,
503,8,8,8,7,02/10/2010,08/10/2010,17/10/2010,
504,,,,,13/05/2010,16/05/2010,,
505,6,,,,23/10/2010,02/11/2010,08/11/2010,
506,10,10,10,10,16/09/2010,22/10/2010,,
507,10,10,10,,24/05/2010,02/06/2010,08/06/2010,
508,9,,9,,25/02/2010,05/05/2010,,
509,10,9,,10,27/05/2010,01/06/2010,07/06/2010,
510,10,,10,,21/05/2010,26/05/2010,01/06/2010,28/09/2010
511,10,,,,13/05/2010,26/10/2010,,
512,10,10,,9,27/05/2010,01/06/2010,02/02/2011,
513,7,,8,,17/05/2010,31/05/2010,01/06/2010,
514,,10,10,10,06/10/2010,29/10/2010,,
515,10,10,7,10,18/05/2010,25/05/2010,29/05/2010,09/06/2010
516,10,10,,10,01/09/2010,09/09/2010,10/09/2010,10/09/2010
517,8,,,,27/09/2010,06/10/2010,,
518,10,9,,10,10/11/2010,12/11/2010,14/11/2010,15/11/2010
519,6,9,,9,31/05/2010,08/11/2010,,
520,,10,10,,22/03/2010,09/04/2010,23/04/2010,28/04/2010
521,,,,,27/04/2010,11/03/2011,,
522,9,9,,,03/06/2010,18/10/2010,,
523,10,10,10,10,22/05/2010,31/05/2010,01/06/2010,
524,,,,,29/05/2010,10/06/2010,,
525,8,,,,26/03/2010,,,
526,10,10,,,15/06/2010,06/10/2010,,
527,10,,10,10,25/05/2010,01/06/2010,,
528,,,,,08/05/2010,01/06/2010,,
529,10,10,10,10,03/08/2010,25/10/2010,,
530,10,10,,,24/09/2010,,,
531,10,10,,,18/05/2010,30/05/2010,01/06/2010,05/10/2010
532,10,10,10,10,16/06/2010,02/10/2010,,
533,10,10,,,17/09/2010,18/09/2010,01/10/2010,
534,10,,8,,31/05/2010,11/06/2010,11/06/2010,11/06/2010
535,7,7,8,,22/09/2010,07/10/2010,09/10/2010,
536,,,,,04/06/2010,30/09/2010,,
537,10,10,,,27/05/2010,24/10/2010,,
538,10,10,10,10,27/05/2010,02/06/2010,02/10/2010,15/10/2010
539,9,,,10,14/05/2010,24/05/2010,,
540,10,,10,,25/05/2010,18/10/2010,,
541,10,,,,24/05/2010,27/05/2010,01/06/2010,09/06/2010
542,,9,,,27/05/2010,13/06/2010,07/10/2010,30/11/2010
543,10,,,,17/05/2010,,,
544,,10,,,03/10/2010,,,
545,8,10,10,8,16/09/2010,16/09/2010,16/09/2010,16/09/2010
546,10,10,10,,17/11/2010,17/11/2010,17/12/2010,
547,9,10,10,10,27/05/2010,01/06/2010,12/10/2010,
548,,10,8,6,28/05/2010,06/06/2010,08/06/2010,
549,9,,,,21/09/2010,29/09/2010,30/09/2010,
550,,10,,,01/06/2010,02/06/2010,04/06/2010,
551,,,10,10,07/06/2010,22/02/2011,,
552,8,9,,10,02/06/2010,05/06/2010,09/06/2010,08/09/2010
553,10,,10,,14/05/2010,30/05/2010,,
554,10,10,9,10,28/03/2010,08/04/2010,03/05/2010,19/05/2010
555,8,,,,06/10/2010,28/01/2011,,
556,,,,,28/05/2010,09/06/2010,,
557,10,,8,8,29/10/2010,,,
558,,,,,25/10/2010,,,
559,10,10,10,9,03/10/2010,08/10/2010,13/10/2010,19/10/2010
560,,8,,,13/07/2010,14/10/2010,,
561,10,10,9,9,26/09/2010,04/10/2010,07/10/2010,15/10/2010
562,,,,,01/10/2010,,,
563,10,,,9,19/02/2010,28/02/2010,08/03/2010,
564,,9,8,8,02/06/2010,07/06/2010,26/09/2010,06/10/2010
565,8,,,,01/09/2010,24/09/2010,30/09/2010,24/03/2011
566,10,,,,27/10/2010,01/11/2010,03/11/2010,07/11/2010
567,8,,,,05/04/2010,28/04/2010,11/05/2010,13/05/2010
568,9,,,,19/11/2010,30/11/2010,09/12/2010,31/03/2011
569,10,10,,10,19/01/2011,19/01/2011,21/01/2011,04/02/2011
570,,,10,,21/12/2010,21/12/2010,21/12/2010,21/12/2010
571,9,10,10,10,21/05/2010,31/05/2010,28/09/2010,13/10/2010
572,10,9,8,9,26/09/2010,10/10/2010,18/10/2010,20/10/2010
573,10,9,9,,12/10/2010,15/10/2010,,
574,9,10,7,10,14/05/2010,19/05/2010,24/05/2010,29/05/2010
575,6,,,,13/11/2010,18/11/2010,20/11/2010,23/11/2010
576,10,,,,29/09/2010,09/03/2011,,
577,10,10,8,,03/10/2010,08/10/2010,12/10/2010,15/10/2010
578,,,,,29/10/2010,,,
579,,,,10,20/09/2010,28/09/2010,11/10/2010,13/10/2010
580,10,,10,,21/10/2010,06/12/2010,,
581,,,,,14/06/2010,16/06/2010,24/06/2010,
582,9,,10,10,01/03/2010,02/04/2010,10/05/2010,28/05/2010
583,8,,,,16/12/2010,16/12/2010,16/12/2010,
584,9,10,10,10,19/04/2010,28/05/2010,25/08/2010,
585,10,10,10,,07/09/2010,07/09/2010,07/09/2010,
586,9,9,10,,27/05/2010,29/05/2010,02/06/2010,
587,10,,,,26/05/2010,30/09/2010,,
588,8,10,9,10,14/04/2010,23/05/2010,31/05/2010,13/08/2010
589,10,10,10,10,20/04/2010,21/04/2010,27/04/2010,30/04/2010
590,10,8,10,10,23/05/2010,27/05/2010,01/06/2010,22/06/2010
591,9,9,8,10,02/06/2010,11/10/2010,15/10/2010,
592,10,8,10,,22/03/2010,27/05/2010,24/09/2010,11/10/2010
593,,9,,,06/06/2010,16/10/2010,,
594,,9,9,9,20/05/2010,25/05/2010,28/05/2010,01/06/2010
595,9,10,,,13/10/2010,22/10/2010,,
596,,,,,04/06/2010,07/06/2010,08/11/2010,
597,,10,10,10,12/11/2010,20/11/2010,30/11/2010,30/11/2010
598,10,10,10,10,16/05/2010,24/05/2010,29/05/2010,01/06/2010
599,,8,9,,16/09/2010,,,
600,10,10,9,10,20/05/2010,21/05/2010,28/05/2010,16/09/2010
601,10,,,,13/11/2010,,,
602,10,10,10,10,05/04/2010,14/05/2010,31/05/2010,07/06/2010
603,7,10,,,20/05/2010,31/05/2010,02/06/2010,23/09/2010
604,,,10,10,23/05/2010,01/06/2010,26/10/2010,24/01/2011
605,9,9,10,10,03/06/2010,11/06/2010,15/06/2010,18/06/2010
606,9,,9,,28/05/2010,06/06/2010,,
607,10,10,,10,23/09/2010,,,
608,10,,8,,24/05/2010,29/05/2010,01/06/2010,17/09/2010
609,10,10,10,10,26/04/2010,06/06/2010,,
610,10,10,10,10,02/02/2010,02/04/2010,08/04/2010,
611,10,10,7,9,30/05/2010,03/06/2010,,
612,10,,10,,07/05/2010,31/05/2010,20/09/2010,
613,,,8,,03/12/2010,10/12/2010,10/12/2010,10/12/2010
614,,,,9,14/07/2010,19/07/2010,23/07/2010,16/08/2010
615,,10,10,10,08/06/2010,12/06/2010,21/06/2010,30/09/2010
616,5,,,1,12/06/2010,21/09/2010,,
617,9,10,8,,21/05/2010,30/05/2010,08/07/2010,28/10/2010
618,10,10,10,10,30/03/2010,25/05/2010,11/10/2010,
619,,10,10,10,26/05/2010,23/08/2010,,
620,9,9,9,10,06/10/2010,12/10/2010,18/10/2010,
621,,10,10,10,28/05/2010,04/06/2010,16/07/2010,06/10/2010
622,,10,,10,04/06/2010,,,
623,10,10,9,9,28/09/2010,04/10/2010,07/10/2010,13/10/2010
624,9,,,,28/04/2010,09/06/2010,,
625,10,7,10,10,13/04/2010,02/05/2010,23/05/2010,24/08/2010
626,,10,9,10,28/05/2010,05/12/2010,,
627,,9,9,,02/06/2010,07/10/2010,10/01/2011,
628,,10,10,10,01/06/2010,01/06/2010,07/10/2010,
629,10,,10,,21/04/2010,16/06/2010,15/10/2010,
630,9,,9,,27/05/2010,28/05/2010,31/05/2010,
631,,9,,10,09/06/2010,,,
632,,,,,20/05/2010,20/05/2010,28/05/2010,
633,,9,8,8,30/03/2010,11/05/2010,31/05/2010,21/06/2010
634,9,10,9,10,18/05/2010,30/09/2010,,
635,10,,,,04/10/2010,22/03/2011,,
636,10,,10,,05/10/2009,22/10/2009,27/03/2010,
637,9,9,9,8,24/05/2010,01/06/2010,09/10/2010,
638,10,10,,10,21/04/2010,11/05/2010,24/05/2010,31/05/2010
639,9,9,10,10,27/05/2010,15/06/2010,21/01/2011,
640,10,,,,05/05/2010,31/05/2010,28/02/2011,
641,,,,,09/06/2010,10/11/2010,23/03/2011,
642,,,,,30/04/2010,22/03/2011,,
643,9,9,,9,15/10/2010,17/10/2010,18/10/2010,21/10/2010
644,10,,,,27/10/2010,,,
645,9,10,,9,10/05/2010,01/06/2010,,
646,10,10,10,10,15/04/2010,25/05/2010,31/05/2010,16/02/2011
647,10,10,10,,27/05/2010,02/06/2010,,
648,10,8,10,10,30/09/2010,30/09/2010,30/09/2010,20/10/2010
649,,,,,17/05/2010,26/05/2010,31/05/2010,09/10/2010
650,10,9,,,02/06/2010,07/07/2010,,
651,,,,,09/06/2010,10/06/2010,,
652,10,10,10,,16/08/2010,30/10/2010,,
653,,,9,10,11/02/2011,11/02/2011,11/02/2011,11/02/2011
654,,10,,,07/05/2010,22/05/2010,27/05/2010,02/06/2010
655,9,10,9,,13/08/2010,13/08/2010,13/08/2010,13/08/2010
656,8,,,,31/03/2010,24/05/2010,,
657,10,,8,10,02/10/2010,12/10/2010,18/10/2010,
658,10,,,,11/11/2010,10/12/2010,,
659,9,9,,10,03/06/2010,03/06/2010,03/06/2010,
660,,,,,14/10/2010,14/10/2010,14/10/2010,14/10/2010
661,8,10,9,10,05/10/2010,21/12/2010,,
662,,,,,15/10/2010,,,
663,,10,9,7,22/10/2010,,,
664,10,,,,08/11/2010,,,
665,10,10,10,9,14/05/2010,25/05/2010,31/05/2010,14/10/2010
666,,,,9,17/05/2010,28/05/2010,30/08/2010,
667,,,10,,25/05/2010,07/06/2010,26/10/2010,
668,8,8,9,7,09/11/2010,09/11/2010,09/11/2010,09/11/2010
669,8,8,9,9,12/05/2010,25/05/2010,08/06/2010,
670,,9,,,13/06/2010,24/06/2010,03/09/2010,24/09/2010
671,,,,,28/05/2010,28/05/2010,28/05/2010,28/05/2010
672,10,8,9,,31/05/2010,03/06/2010,08/06/2010,
673,9,8,,,09/04/2010,14/04/2010,16/04/2010,05/05/2010
674,,,,,03/11/2010,09/11/2010,15/11/2010,18/11/2010
675,,10,,10,18/05/2010,20/05/2010,26/05/2010,01/06/2010
676,,10,10,,11/09/2010,14/09/2010,05/10/2010,
677,10,9,9,9,25/10/2010,25/10/2010,25/10/2010,
678,10,9,9,9,12/10/2010,12/10/2010,12/10/2010,12/10/2010
679,,10,10,10,16/02/2011,16/02/2011,16/02/2011,16/02/2011
680,,10,,10,30/09/2010,12/10/2010,15/10/2010,27/10/2010
681,9,8,10,9,01/07/2010,03/09/2010,15/09/2010,
682,10,10,10,10,30/05/2010,06/03/2011,,
683,8,9,,10,12/05/2010,18/05/2010,23/05/2010,27/05/2010
684,10,,,10,20/04/2010,26/04/2010,02/07/2010,
685,,,10,,13/01/2011,13/01/2011,,
686,10,7,9,10,22/11/2010,,,
687,8,8,9,10,21/05/2010,29/08/2010,16/09/2010,12/04/2011
688,2,9,10,9,07/01/2011,07/01/2011,07/01/2011,07/01/2011
689,,7,,7,09/06/2010,21/06/2010,19/10/2010,22/02/2011
690,,,,,14/12/2010,14/12/2010,14/12/2010,14/12/2010
691,9,10,9,10,15/06/2010,22/09/2010,28/10/2010,
692,,9,10,10,12/03/2010,07/04/2010,05/05/2010,25/05/2010
693,10,10,10,10,03/05/2010,31/05/2010,01/06/2010,15/10/2010
694,,10,10,10,03/05/2010,03/05/2010,05/05/2010,
695,9,,,,11/10/2010,01/11/2010,,
696,9,9,,,15/08/2010,28/10/2010,,
697,9,10,,,13/05/2010,19/05/2010,25/05/2010,29/05/2010
698,8,10,,,10/05/2010,18/05/2010,31/05/2010,07/06/2010
699,,10,10,,30/04/2010,09/05/2010,18/05/2010,26/05/2010
700,9,,,,30/09/2010,14/10/2010,26/10/2010,
701,8,10,10,,30/09/2010,08/10/2010,25/10/2010,08/11/2010
702,10,10,10,4,01/11/2010,12/11/2010,,
703,,,,,30/09/2010,02/10/2010,02/11/2010,
704,8,9,9,8,12/09/2010,,,
705,,,,,15/04/2010,29/09/2010,,
706,10,10,,10,09/05/2010,28/05/2010,01/06/2010,04/06/2010
707,8,,,9,06/05/2010,21/05/2010,27/05/2010,02/06/2010
708,10,10,10,10,19/05/2010,25/05/2010,31/05/2010,08/12/2010
709,10,10,10,8,15/09/2010,21/09/2010,,
710,,10,10,10,20/05/2010,25/05/2010,01/06/2010,28/10/2010
711,,10,9,10,16/05/2010,01/06/2010,13/09/2010,06/10/2010
712,,10,10,10,24/05/2010,01/06/2010,,
713,,6,10,10,04/05/2010,19/05/2010,25/05/2010,01/06/2010
714,,10,8,10,11/05/2010,23/05/2010,27/05/2010,02/06/2010
715,9,,,,04/12/2009,22/12/2009,,
716,10,10,10,10,27/05/2010,01/06/2010,01/06/2010,08/06/2010
717,9,9,8,9,05/05/2010,09/05/2010,28/05/2010,16/09/2010
718,9,8,10,9,05/05/2010,25/05/2010,28/05/2010,01/06/2010
719,,10,10,,07/06/2010,27/06/2010,06/10/2010,21/03/2011
720,10,,10,,08/10/2009,15/03/2010,12/04/2010,
721,10,10,7,,05/01/2011,05/01/2011,05/01/2011,06/01/2011
722,,10,6,7,10/11/2010,14/11/2010,19/11/2010,01/12/2010
723,3,,,,23/11/2010,02/12/2010,08/12/2010,09/12/2010
724,,,,,31/10/2010,11/11/2010,17/11/2010,
725,10,,,,19/02/2010,03/10/2010,,
726,9,10,7,5,23/04/2010,27/04/2010,12/05/2010,
727,,,,,17/03/2010,17/03/2010,17/03/2010,
728,10,,10,10,25/05/2010,31/05/2010,08/06/2010,08/11/2010
729,,10,10,10,27/05/2010,31/05/2010,02/06/2010,06/12/2010
730,,,,,09/06/2010,30/09/2010,,
731,,9,9,10,03/12/2010,03/12/2010,21/12/2010,
732,8,,,9,02/11/2010,11/11/2010,,
733,9,10,8,8,10/05/2010,10/05/2010,03/05/2010,11/05/2010
734,10,10,9,9,02/09/2010,,,
735,10,10,10,9,25/05/2010,31/05/2010,31/08/2010,
736,,,8,10,18/05/2010,24/06/2010,31/01/2011,
737,9,,,,05/11/2010,16/11/2010,29/11/2010,29/11/2010
738,10,,,,09/04/2010,24/04/2010,19/05/2010,
739,10,10,2,,26/05/2010,01/06/2010,,
740,8,,,,21/04/2010,18/05/2010,,
741,9,,10,,30/05/2010,24/09/2010,05/10/2010,26/10/2010
742,9,,10,,14/10/2010,,,
743,,,5,8,04/09/2010,20/09/2010,27/09/2010,06/10/2010
744,,10,10,9,31/05/2010,01/06/2010,06/10/2010,
745,10,9,10,9,25/05/2010,01/06/2010,08/06/2010,
746,10,,10,,26/04/2010,30/05/2010,24/08/2010,
747,,,10,9,24/05/2010,01/06/2010,08/10/2010,06/11/2010
748,,10,,10,29/09/2010,,,
749,9,10,,,26/05/2010,,,
750,9,,,8,26/04/2010,,,
751,8,8,9,7,02/06/2010,,,
752,10,,10,,24/05/2010,04/10/2010,,
753,,,,,25/05/2010,,,
754,10,,10,10,27/05/2010,,,
755,10,,,9,25/04/2010,16/09/2010,26/09/2010,04/03/2011
756,,,,,21/10/2010,,,
757,,10,9,9,09/03/2010,14/05/2010,13/09/2010,15/09/2010
758,9,9,10,10,25/05/2010,31/05/2010,27/09/2010,
759,9,10,9,10,05/05/2010,18/05/2010,18/05/2010,18/05/2010
760,7,,,,11/05/2010,25/05/2010,,
761,10,,,,04/10/2010,01/12/2010,,
762,10,10,10,9,01/06/2010,08/09/2010,23/10/2010,24/01/2011
763,10,10,10,10,03/04/2010,10/05/2010,31/05/2010,27/09/2010
764,,,10,9,27/05/2010,01/06/2010,,
765,10,,,,02/10/2010,,,
766,10,8,8,10,21/04/2010,22/04/2010,27/04/2010,28/04/2010
767,8,9,9,8,07/06/2010,14/10/2010,,
768,,,10,,22/10/2010,02/11/2010,,
769,10,10,10,10,02/06/2010,02/06/2010,,
770,,,,,21/10/2010,31/10/2010,,
771,8,,,,27/05/2010,,,
772,,,,10,01/05/2010,15/05/2010,26/05/2010,01/10/2010
773,,,9,,21/12/2010,11/01/2011,,
774,10,,8,8,07/06/2010,16/06/2010,18/10/2010,
775,,,,,29/04/2010,,,
776,,,8,,28/04/2010,18/05/2010,01/06/2010,
777,10,,,,21/05/2010,31/05/2010,,
778,10,10,10,10,19/04/2010,04/05/2010,20/05/2010,27/05/2010
779,,,,,04/06/2010,18/10/2010,,
780,8,9,9,10,15/04/2010,21/04/2010,26/05/2010,20/09/2010
781,8,10,10,,03/06/2010,,,
782,9,,,,07/10/2010,12/10/2010,14/10/2010,
783,10,,,,02/10/2010,12/10/2010,25/10/2010,
784,10,10,9,,27/04/2010,18/05/2010,29/05/2010,30/10/2010
785,,,,,08/06/2010,11/06/2010,25/10/2010,
786,,10,,9,07/07/2010,16/10/2010,15/12/2010,
787,10,,9,8,22/10/2010,15/11/2010,,
788,9,,8,,31/05/2010,28/10/2010,,
789,9,9,,,06/01/2011,21/01/2011,,
790,10,10,10,10,01/06/2010,07/10/2010,,
791,8,8,,,01/12/2009,26/05/2010,,
792,9,,,,06/01/2010,06/01/2010,12/01/2010,12/01/2010
793,7,7,,,07/10/2010,15/10/2010,,
794,8,,,,12/10/2010,11/01/2011,,
795,,10,,,02/06/2010,11/04/2011,,
796,,,,,29/10/2010,15/11/2010,23/11/2010,
797,9,,,,04/06/2010,,,
798,10,10,,10,23/05/2010,28/05/2010,04/06/2010,04/06/2010
799,10,,,,28/05/2010,01/06/2010,,
800,10,,,9,28/05/2010,31/05/2010,09/06/2010,
801,10,,,7,28/04/2010,11/05/2010,,
802,7,,,,01/06/2010,,,
803,,,10,,19/09/2010,29/11/2010,,
804,,7,,9,20/09/2010,26/10/2010,,
805,8,9,9,10,21/09/2010,27/09/2010,08/10/2010,
806,,,,,24/09/2010,12/10/2010,23/10/2010,30/10/2010
807,8,,,,20/10/2010,04/11/2010,,
808,10,,10,,07/04/2010,02/06/2010,16/12/2010,
809,9,,,,18/05/2010,31/05/2010,,
810,8,9,,,29/11/2010,18/12/2010,07/03/2011,
811,,9,,9,27/09/2010,15/10/2010,29/10/2010,17/03/2011
812,,9,,9,21/09/2010,30/09/2010,18/10/2010,01/03/2011
813,10,10,10,10,30/05/2010,07/06/2010,,
814,,10,,,14/09/2010,30/09/2010,20/10/2010,25/10/2010
815,10,,,,14/10/2010,26/10/2010,30/10/2010,
816,,10,,10,18/10/2010,09/03/2011,,
817,9,,,,21/05/2010,27/05/2010,,
818,9,,10,,14/10/2010,,,
819,10,10,,,18/05/2010,01/06/2010,,
820,10,10,,,24/05/2010,12/09/2010,07/10/2010,
821,10,10,,,12/08/2010,09/09/2010,,
822,9,,8,9,30/09/2010,,,
823,9,9,,8,03/05/2010,31/05/2010,02/10/2010,
824,,10,,,04/10/2010,12/10/2010,,
825,10,,,,03/10/2010,22/10/2010,,
826,10,,10,9,28/09/2010,28/09/2010,28/09/2010,29/09/2010
827,,,,,02/11/2010,09/11/2010,,
828,10,10,,,25/05/2010,31/05/2010,21/09/2010,25/10/2010
829,8,,,,07/09/2010,12/10/2010,,
830,,,9,,29/04/2010,14/05/2010,,
831,,,7,,07/02/2010,18/02/2010,25/02/2010,01/03/2010
832,,,,,07/10/2010,,,
833,9,,,,09/06/2010,20/09/2010,,
834,,,,10,23/05/2010,28/05/2010,09/06/2010,28/09/2010
835,10,10,10,10,07/05/2010,20/05/2010,27/05/2010,01/06/2010
836,10,10,10,,20/09/2010,22/09/2010,26/09/2010,04/10/2010
837,10,,,,04/10/2010,18/10/2010,21/10/2010,
838,,,10,,19/05/2010,05/10/2010,23/11/2010,
839,,,,,27/05/2010,30/05/2010,,
840,,,,10,16/06/2010,01/06/2010,01/06/2010,
841,,,,,20/09/2010,22/09/2010,24/09/2010,27/09/2010
842,8,,8,,19/05/2010,03/06/2010,,
843,10,,,,19/05/2010,27/05/2010,31/05/2010,01/10/2010
844,10,10,10,10,21/05/2010,02/06/2010,07/06/2010,12/07/2010
845,9,,,,04/05/2010,17/05/2010,20/05/2010,02/06/2010
846,,8,,10,17/10/2010,02/11/2010,19/11/2010,
847,10,,10,,13/05/2010,31/05/2010,01/06/2010,
848,,,,9,10/09/2010,27/09/2010,06/10/2010,
849,10,,,,25/03/2010,06/04/2010,09/04/2010,15/04/2010
850,10,8,10,8,19/05/2010,27/05/2010,01/06/2010,14/11/2010
851,9,,,10,13/05/2010,24/05/2010,28/05/2010,22/02/2011
852,,,,10,02/04/2010,23/05/2010,,
853,10,7,10,10,15/04/2010,29/05/2010,07/06/2010,10/06/2010
854,9,,8,,30/09/2009,20/10/2009,01/11/2009,
855,9,9,8,9,28/05/2010,01/06/2010,17/09/2010,05/10/2010
856,10,,5,10,16/09/2010,01/10/2010,13/10/2010,
857,6,,,,11/10/2010,23/10/2010,27/10/2010,03/11/2010
858,10,10,10,10,23/02/2010,04/03/2010,29/05/2010,04/10/2010
859,10,9,,10,21/04/2010,21/04/2010,22/04/2010,23/04/2010
860,10,,10,,11/06/2010,11/06/2010,11/06/2010,31/05/2010
861,,10,10,10,26/05/2010,31/05/2010,07/06/2010,21/10/2010
862,10,9,9,,05/06/2010,08/06/2010,,
863,10,10,10,10,01/06/2010,,,
864,10,,,,17/11/2010,19/11/2010,,
865,9,10,10,10,15/04/2010,20/04/2010,28/04/2010,
866,8,,,10,02/04/2010,27/05/2010,04/06/2010,
867,10,10,10,10,28/10/2010,28/10/2010,28/10/2010,28/10/2010
868,8,,,,31/10/2010,01/11/2010,04/11/2010,08/11/2010
869,10,9,10,,25/05/2010,01/06/2010,08/06/2010,
870,10,10,8,7,15/09/2010,25/09/2010,30/09/2010,13/10/2010
871,10,9,,,29/05/2010,18/09/2010,,
872,10,,,,20/05/2010,15/04/2011,,
873,,,,,04/06/2010,,,
874,10,,,,04/03/2010,20/03/2010,30/03/2010,
875,10,,,,20/05/2010,28/05/2010,02/06/2010,07/12/2010
876,9,9,,,01/06/2010,25/10/2010,,
877,8,7,8,7,05/06/2010,09/06/2010,13/10/2010,
878,9,,,,16/05/2010,22/05/2010,,
879,8,8,,,06/06/2010,11/06/2010,10/10/2010,
880,8,,,,07/06/2010,20/10/2010,,
881,10,,,,17/02/2010,18/05/2010,06/03/2010,
882,10,,,,01/06/2010,,,
883,7,,,,28/05/2010,04/06/2010,,
884,,10,,,26/05/2010,07/03/2011,,
885,9,10,10,10,30/09/2010,29/10/2010,01/11/2010,
886,9,10,10,,08/09/2010,08/09/2010,09/09/2010,09/09/2010
887,10,,,,01/10/2010,14/10/2010,,
888,,8,,,03/11/2010,08/11/2010,13/11/2010,14/11/2010
889,,,,,15/11/2010,14/03/2011,,
890,10,10,,,31/01/2011,31/01/2011,,
891,9,9,9,10,28/09/2010,17/10/2010,26/10/2010,31/10/2010
892,10,10,10,10,13/05/2010,14/05/2010,04/06/2010,22/10/2010
893,10,9,9,10,04/10/2010,17/10/2010,27/10/2010,
894,10,7,8,10,20/05/2010,28/05/2010,18/10/2010,19/01/2011
895,10,10,10,10,27/09/2010,30/09/2010,12/10/2010,
896,10,10,10,10,30/05/2010,02/06/2010,22/10/2010,
897,9,10,9,,02/04/2010,30/05/2010,,
898,10,10,10,10,27/05/2010,01/06/2010,09/06/2010,
899,10,10,10,9,23/04/2010,28/05/2010,01/06/2010,
900,,10,10,10,27/05/2010,27/05/2010,26/05/2010,31/05/2010
901,10,,9,10,29/04/2010,30/04/2010,,
902,10,,,,22/10/2010,29/11/2010,,
903,8,,,,11/01/2011,11/01/2011,11/01/2011,
904,10,10,,8,13/01/2010,20/04/2010,30/04/2010,
905,10,10,,10,13/12/2010,14/12/2010,16/12/2010,24/01/2011
906,,,10,,29/10/2010,21/03/2011,,
907,,,10,,04/03/2011,04/03/2011,04/03/2011,
908,10,10,9,8,19/10/2010,,,
909,,,10,9,21/05/2010,25/05/2010,27/05/2010,29/05/2010
910,8,,9,,30/07/2010,25/04/2011,,
911,10,9,10,8,27/04/2010,18/05/2010,25/05/2010,28/05/2010
912,10,10,10,10,24/02/2010,06/04/2010,26/08/2010,
913,9,10,6,8,17/05/2010,07/06/2010,04/03/2011,
914,10,9,,10,20/09/2010,,,
915,,,,,15/04/2010,17/08/2010,,
916,10,,10,,14/10/2010,,,
917,10,,,,30/09/2010,08/10/2010,18/03/2011,
918,10,9,9,9,31/05/2010,05/07/2010,20/09/2010,06/10/2010
919,,9,9,,01/06/2010,19/09/2010,25/10/2010,29/10/2010
920,10,9,,,18/10/2010,,,
921,10,10,10,10,17/05/2010,28/05/2010,01/06/2010,06/07/2010
922,10,8,10,10,10/05/2010,25/05/2010,12/10/2010,
923,10,,5,,15/04/2010,,,
924,10,10,10,10,28/04/2010,,,
925,10,,,,04/06/2010,23/03/2011,,
926,9,,,,07/10/2010,15/10/2010,02/11/2010,
927,10,,,,28/04/2010,,,
928,9,,,,04/06/2010,,,
929,,,10,,31/05/2010,08/07/2010,03/09/2010,09/09/2010
930,10,,,,07/11/2010,,,
931,,,10,,24/05/2010,01/06/2010,02/06/2010,02/06/2010
932,10,,,,28/10/2010,,,
933,10,,,,21/09/2010,21/09/2010,27/09/2010,05/10/2010
