ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date
97,9,8,7,,16/05/2010,28/05/2010,31/05/2010,03/01/2011
98,10,10,10,,26/05/2010,05/10/2010,,
99,10,,10,10,11/05/2010,16/05/2010,19/05/2010,25/05/2010
100,,,10,10,16/05/2010,16/05/2010,25/05/2010,01/06/2010
101,10,10,10,9,24/05/2010,27/05/2010,30/05/2010,01/06/2010
102,10,9,10,9,15/09/2010,08/10/2010,16/10/2010,26/10/2010
103,8,,9,9,30/11/2009,30/11/2009,,
104,9,9,9,9,13/01/2011,13/01/2011,13/01/2011,13/01/2011
105,,9,8,,26/05/2010,16/06/2010,11/10/2010,
106,10,,,,19/05/2010,19/05/2010,19/05/2010,21/05/2010
107,,,,,27/05/2010,,,
108,10,,10,,01/05/2010,27/05/2010,01/06/2010,17/10/2010
109,10,8,9,9,28/04/2010,19/04/2010,31/05/2010,
110,10,10,10,9,01/06/2010,12/10/2010,07/01/2011,
111,10,,,10,01/03/2010,22/05/2010,14/09/2010,
112,10,10,,,17/05/2010,27/05/2010,02/08/2010,04/10/2010
113,,8,9,,18/05/2010,31/05/2010,,
114,10,10,10,10,02/04/2010,07/07/2010,,
115,,,10,9,17/05/2010,01/06/2010,,
116,10,,,,02/06/2010,,,
117,10,10,10,,10/10/2010,,,
118,10,10,10,10,01/06/2010,03/10/2010,13/10/2010,
119,7,,,,12/05/2010,31/05/2010,02/06/2010,19/09/2010
120,9,,,,31/05/2010,,,
121,8,9,10,,20/09/2010,07/10/2010,,
122,10,9,10,10,08/09/2010,21/09/2010,,
123,10,10,9,10,30/05/2010,07/06/2010,14/07/2010,13/10/2010
124,10,10,,10,06/05/2010,28/05/2010,08/10/2010,
125,10,,,,26/09/2010,01/10/2010,,
126,10,,,,17/08/2010,30/08/2010,,
127,,,,10,27/05/2010,18/10/2010,,
128,10,10,10,10,25/05/2010,21/09/2010,,
129,10,,10,10,19/08/2010,23/08/2010,12/09/2010,
130,9,10,10,8,31/05/2010,07/06/2010,14/09/2010,
131,10,,,,28/05/2010,09/06/2010,,
132,,9,,,08/06/2010,,,
133,10,10,10,9,11/05/2010,31/05/2010,03/09/2010,
134,9,10,10,10,29/05/2010,01/07/2010,03/10/2010,
135,,,,,01/06/2010,09/06/2010,09/06/2010,
136,10,,,,21/10/2010,,,
137,8,8,,8,17/09/2010,,,
138,10,10,10,10,01/06/2010,11/05/2010,20/05/2010,25/05/2010
139,9,,,,08/09/2010,14/09/2010,,
140,,4,10,,08/06/2010,,,
141,9,10,10,10,30/09/2010,14/01/2011,,
142,10,8,6,8,04/05/2010,18/05/2010,01/06/2010,14/10/2010
143,10,8,10,,12/07/2010,14/11/2010,,
144,9,10,10,10,02/06/2010,29/09/2010,,
145,10,10,,,11/05/2010,26/05/2010,,
146,,,,,01/06/2010,18/11/2010,,
147,10,9,10,9,14/02/2010,21/02/2010,03/03/2010,26/03/2010
148,,,,,01/10/2010,,,
149,10,10,10,10,20/05/2010,14/05/2010,31/05/2010,
150,10,10,10,9,12/04/2010,26/04/2010,20/05/2010,01/06/2010
151,5,9,9,10,10/05/2010,20/05/2010,29/05/2010,01/06/2010
152,10,,10,,10/10/2010,08/11/2010,15/11/2010,
153,,,,,28/02/2010,24/05/2010,18/09/2010,
154,10,10,10,10,11/10/2010,,,
155,10,10,10,10,24/05/2010,02/06/2010,,
